영문	그림	자리	하데스요구레벨	한글후보	팩요구레벨	그림일치	레벨차	판정
Band of Destruction	13377	6	1	흑요석몽크목걸이	81/99	O	80	보통
Earth Garb	103	2	41	천지도복	41/51	O	0	강함
Empowered Holy Hy-Brasyl Gnarl	933	1	99	이아의빛	99	O	0	강함
Empowered Magus Orb	931	1	99	로오의빛	99	O	0	강함
Holy Hy-Brasyl Gnarl	876	1	99	이아의은총	1/99	O	0	강함
Kagum	164	2	97	카쿰	99	O	2	강함
Keaton	149	2	71	키톤	71/81	O	0	강함
Magus Hy-Brasyl Orb	875	1	99	로오의은총	1/99	O	0	강함
Mantle	110	2	41	맨틀	41/51	O	0	강함
Mileth Armor Dye	58	0	0	뮤레칸의눈물	-	X		약함
Wind Garb	148	2	71	선풍도복	71/81	O	0	강함
Ceannlaidir Coral Ring	212	8	7	산호반지	11/51	O	4	강함
Cotte	118	2	1	꼬뜨	1	O	0	강함
Cowl	100	2	1	셍즈	1	O	0	강함
Dobok	98	2	1	도복	1	O	0	강함
Earth Bodice	117	2	1	연무복	1	O	0	강함
Might Enchanted Boots	75	13	96	매직부츠	99	O	3	강함
Jupe	102	2	11	지폰	11/21	O	0	강함
Leather Bliaut	116	2	1	튜닉	1	O	0	강함
Light Coral Necklace	951	6	1	진주목걸이	11	O	10	보통
Light Dagger	254	1	42	광단검	56/99	O	14	보통
Lorum	111	2	11	로럼	41/51	O	30	보통
Loures Signet Ring	207	7	1	로오의반지	1/11	O	0	강함
Might Magma Boots	113	13	82	마그마부츠	86	O	4	강함
Might Saffian Boots	95	13	66	바이올렛티	71	O	5	강함
Sea Garb	842	2	3	밀레스대양도복	99	O	96	보통
Deoch Mythril Shield	93	3	61	은제방패	41/56	O	5	강함
Small Emerald Ring	213	7	1	사파이어반지	11	O	10	보통
