영문	붙인한글	등급
Magic Hy-Brasyl Gauntlet	마력의금장갑	AFFIX_DERIVED
Magic Beryl Earrings	마력의순옥귀걸이	AFFIX_DERIVED
Magic Mythril Gauntlet	마력의은장갑	AFFIX_DERIVED
Magic Red Jade Ring	마력의홍옥반지	AFFIX_DERIVED
Magic Talos Shield	마력의플라늄방패	AFFIX_DERIVED
Magic Beryl Ring	마력의금반지	AFFIX_DERIVED
Magic Boots	마력의신발	AFFIX_DERIVED
Magic Cordovan Boots	마력의레더부츠	AFFIX_DERIVED
Magic Enchanted Boots	마력의매직부츠	AFFIX_DERIVED
Magic Grey Boots	마력의회색신발	AFFIX_DERIVED
Magic Hy-Brasyl Bracer	마력의금팔찌	AFFIX_DERIVED
Magic Iron Bracer	마력의동팔찌	AFFIX_DERIVED
Magic Bronze Shield	마력의구리방패	AFFIX_DERIVED
Magic Gold Earrings	마력의쌍금귀걸이	AFFIX_DERIVED
Magic Iron Gauntlet	마력의동장갑	AFFIX_DERIVED
Magic Leather Bracer	마력의가죽팔찌	AFFIX_DERIVED
Magic Leather Gauntlet	마력의가죽장갑	AFFIX_DERIVED
Magic Mythril Shield	마력의은제방패	AFFIX_DERIVED
Magic Hy-Brasyl Shield	마력의금제방패	AFFIX_DERIVED
Magic Leather Shield	마력의가죽방패	AFFIX_DERIVED
Magic Magma Boots	마력의마그마부츠	AFFIX_DERIVED
Magic Mythril Bracer	마력의은팔찌	AFFIX_DERIVED
Magic Saffian Boots	마력의바이올렛티	AFFIX_DERIVED
Dark Cleric Gown	클레릭의상2	EXTRACTED_SINGLE
Magic Hy-Brasyl Greaves	마력의금각반	EXTRACTED_SINGLE
Suomi Guard Uniform	초보자갑옷	EXTRACTED_SINGLE
The Untamed	라이트닝액스	EXTRACTED_SINGLE
beag ioc deum	중급마력포션	EXTRACTED_SINGLE
Dark Belt	해골벨트	EXTRACTED_SINGLE
Dark Necklace	해골목걸이	EXTRACTED_SINGLE
Hag's Replica Girdle	바크의척추뼈	EXTRACTED_SINGLE
Grand Master Celestial Crown	큐이레스2	PACK_CONSENSUS
Grand Master Celestial Gown	라피스라즐리2	PACK_CONSENSUS
Grand Master Celestial Mitre F	아가트2	PACK_CONSENSUS
Grand Master Celestial Robes	데메테르2	PACK_CONSENSUS
Grand Master Combat Robe	가릉비가2	PACK_CONSENSUS
Grand Master Magic Gown	세르네티2	PACK_CONSENSUS
Grand Master Magic Helm	마르두크2	PACK_CONSENSUS
Grand Master Mystic Robe	솔라레스2	PACK_CONSENSUS
Grand Master Mystic Cap	마아트2	PACK_CONSENSUS
Grand Master Shadow Plate	레일라2	PACK_CONSENSUS
Grand Master Valor Helm	살렛2	PACK_CONSENSUS
Grand Master Valor Helmet	헬름2	PACK_CONSENSUS
Grand Master War Guard	아레스2	PACK_CONSENSUS
Grand Master War Plate	레오파드2	PACK_CONSENSUS
Grand Shadow Band	루크2	PACK_CONSENSUS
Grand Shadow Hood	라멜2	PACK_CONSENSUS
