영문	부위	요구레벨	제안	후보	등급
Apple	0	1	사과		SAME_LINEAGE
Apple	0	1	사과		SAME_LINEAGE
Forsaken Jewel	0	1	드라코의눈		PACK_CONSENSUS
Hag's Replica Girdle	0	3	바크의척추뼈		EXTRACTED_SINGLE
Secret Canal's Key	0	3	2갱도열쇠		EXTRACTED_SINGLE
Talos Fragment	0	3	쇠조각		EXTRACTED_SINGLE
Talos Ore	0	1	쇠조각		EXTRACTED_SINGLE
beag ioc deum	0	30	중급마력포션		EXTRACTED_SINGLE
mor ioc deum	0	30	쿠라눔		EXTRACTED_SINGLE
Blazed Veltain Sword	1	99	피닉스크로어		PACK_CONSENSUS
Durimis	1	99	히야트홀리스태프		PACK_CONSENSUS
Empowered Holy Gnarl	1	99	홀리디아나		EXTRACTED_SINGLE
Enchanted Magus Orb	1	99	다크디아나		EXTRACTED_SINGLE
Giant Club	1	75	자이언트클럽		EXTRACTED_SINGLE
Hatchet	1	13	토마호크		SAME_LINEAGE
Scythe	1	94	낫		EXTRACTED_SINGLE
Spiked Club	1	66	스파이크클럽		EXTRACTED_SINGLE
Sun Dagger	1	30	곡단도		PACK_CONSENSUS
Talgonite Axe	1	81	타고나이트액스		PACK_CONSENSUS
The Untamed	1	99	라이트닝액스		EXTRACTED_SINGLE
Training Staff	1	1	홀리머큐리아		PACK_CONSENSUS
Wooden Club	1	50	우든클럽		EXTRACTED_SINGLE
Abundance Iron Bracer	10	33	풍요의동팔찌	동팔찌 · 로오의동팔찌 · 메투스의동팔찌 · 뮤레칸의동팔찌 · 세오의동팔찌 · 세토아의동팔찌 · 셔스의동팔찌 · 이아의동팔찌	EXTRACTED_SINGLE
Abundance Iron Gauntlet	10	33	풍요의동장갑	동장갑 · 로오의동장갑 · 메투스의동장갑 · 뮤레칸의동장갑 · 세오의동장갑 · 세토아의동장갑 · 셔스의동장갑 · 이아의동장갑	EXTRACTED_SINGLE
Abundance Leather Bracer	10	9	풍요의가죽팔찌	가죽팔찌 · 로오의가죽팔찌 · 메투스의가죽팔찌 · 세오의가죽팔찌 · 세토아의가죽팔찌 · 셔스의가죽팔찌 · 이아의가죽팔찌	EXTRACTED_SINGLE
Abundance Leather Gauntlet	10	9	풍요의가죽장갑	가죽장갑 · 로오의가죽장갑 · 메투스의가죽장갑 · 세오의가죽장갑 · 세토아의가죽장갑 · 셔스의가죽장갑 · 이아의가죽장갑	EXTRACTED_SINGLE
Abundance Mythril Bracer	10	63	풍요의은팔찌	로오의은팔찌 · 메투스의은팔찌 · 세오의은팔찌 · 세토아의은팔찌 · 셔스의은팔찌 · 은팔찌 · 이아의은팔찌	EXTRACTED_SINGLE
Abundance Mythril Gauntlet	10	63	풍요의은장갑	로오의은장갑 · 메투스의은장갑 · 뮤레칸의은장갑 · 세오의은장갑 · 세토아의은장갑 · 셔스의은장갑 · 은장갑 · 이아의은장갑	EXTRACTED_SINGLE
Cail Iron Bracer	10	33	메투스의동팔찌	동팔찌 · 로오의동팔찌 · 뮤레칸의동팔찌 · 세오의동팔찌 · 세토아의동팔찌 · 셔스의동팔찌 · 이아의동팔찌 · 풍요의동팔찌	EXTRACTED_SINGLE
Cail Iron Gauntlet	10	33	메투스의동장갑	동장갑 · 로오의동장갑 · 뮤레칸의동장갑 · 세오의동장갑 · 세토아의동장갑 · 셔스의동장갑 · 이아의동장갑 · 풍요의동장갑	EXTRACTED_SINGLE
Cail Leather Bracer	10	9	메투스의가죽팔찌	가죽팔찌 · 로오의가죽팔찌 · 세오의가죽팔찌 · 세토아의가죽팔찌 · 셔스의가죽팔찌 · 이아의가죽팔찌 · 풍요의가죽팔찌	EXTRACTED_SINGLE
