{
이름	마이소시아
추가	0,운디네,72,190,운디네마을,87,49
//추가	0,호엔,95,170,호엔마을,20,25
추가	0,수오미,110,125,수오미마을,40,11
추가	0,마인,80,150,마인마을,89,32
추가	0,북의우드랜드,78,220,우드랜드대기실,10,16
추가	0,타고르,140,310,타고르마을,22,86
추가	0,밀레스,258,95,밀레스마을,50,50
추가	0,아벨,305,95,아벨마을,58,22
추가	0,야외배틀필드,288,119,마이소시아콜로세움,12,22
추가	0,시장,493,325,시장,14,2
추가	0,드라큐라의성,142,374,드라큐라백작의 성,25,46
추가	0,크리스마스마을,23,42,크리스마스마을,21,11
추가	0,피에트,155,223,피에트마을,6,10
추가	0,죽음의마을,324,138,죽음의마을입구5,15,14
추가	0,로톤,247,165,로톤마을,96,66
추가	0,베크나탑,231,112,베크나탑입구,35,55
추가	0,서의우드랜드,353,188,우드랜드입구,10,18
추가	0,동의우드랜드,343,188,우드랜드입구,10,18
추가	0,남의우드랜드,333,188,우드랜드입구,10,18
추가	0,북의우드랜드,323,188,우드랜드입구,10,18
추가	0,놀이동산,383,11,놀이동산입구,18,20
추가	0,루어스대평원,305,236,룸,4,4
추가	0,용자의공원,225,286,용자의공원,49,95
추가	0,루어스마을,95,240,루어스마을,54,83
추가	0,아이스월드,433,148,아이스월드,5,5
추가	0,뤼케시온,493,207,뤼케시온마을,20,8
추가	0,노비스,3,10,노비스마을,38,30
추가	0,홀리루딘성,3,25,홀리루딘1층홀,5,12
}
