아만정글입구,스프링,8

아만정글1,고목뿌리,6
아만정글1,세라몽고,4
아만정글1,몽코,3
아만정글1,아모몽구스,2
아만정글1,빅푸쿠스,2
아만정글1,캐러풋,4
아만정글1,밍구스,4

아만정글2,고목뿌리1,6
아만정글2,세라몽고,2
아만정글2,몽코,2
아만정글2,아모몽구스,2
아만정글2,빅푸쿠스,2
아만정글2,캐러풋,4
아만정글2,밍구스,4
아만정글2,빅풋,5
아만정글2,엘로푸이,4

아만정글3,고목뿌리,7
아만정글3,세라몽고,3
아만정글3,몽코,2
아만정글3,아모몽구스,1
아만정글3,빅푸쿠스,2
아만정글3,캐러풋,4
아만정글3,밍구스,3
아만정글3,빅풋,5
아만정글3,엘로푸이,4
아만정글3,아모몽고,4

아만정글4,고목뿌리,8
아만정글4,세라몽고,2
아만정글4,몽코,2
아만정글4,아모몽구스,1
아만정글4,빅푸쿠스,2
아만정글4,캐러풋,3
아만정글4,밍구스,3
아만정글4,빅풋,5
아만정글4,엘로푸이,3
아만정글4,아모몽고,4

아만정글5,고목뿌리,6
아만정글5,세라몽고,4
아만정글5,몽코,2
아만정글5,아모몽구스,1
아만정글5,빅푸쿠스,2
아만정글5,캐러풋,4
아만정글5,밍구스,4
아만정글5,빅풋,5
아만정글5,엘로푸이,3
아만정글5,아모몽고,4
