[사용일자] : 2018년 08월 18일 토요일  20:09:47	Spell Parse : 이모탈
[사용일자] : 2018년 08월 18일 토요일  20:10:23	Skill Parse : 연주공격(Lev6)
[사용일자] : 2018년 08월 18일 토요일  20:10:24	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:25	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:31	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:32	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:33	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:35	Skill Parse : 연주공격(Lev6)
[사용일자] : 2018년 08월 18일 토요일  20:10:36	Skill Parse : 연주공격(Lev6)
[사용일자] : 2018년 08월 18일 토요일  20:10:37	Skill Parse : 연주공격(Lev6)
[사용일자] : 2018년 08월 18일 토요일  20:10:37	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:38	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:43	Spell Parse : 프라보
[사용일자] : 2018년 08월 18일 토요일  20:10:43	Spell Parse : 프라보
[사용일자] : 2018년 08월 18일 토요일  20:10:44	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:45	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:46	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:48	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:49	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:50	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:54	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:10:56	Spell Parse : 나르콜리
[사용일자] : 2018년 08월 18일 토요일  20:10:57	Spell Parse : 나르콜리
[사용일자] : 2018년 08월 18일 토요일  20:10:58	Spell Parse : 나르콜리
[사용일자] : 2018년 08월 18일 토요일  20:11:01	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:11:05	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:11:07	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:11:19	Npc Parse : 정복자루딘
[사용일자] : 2018년 08월 18일 토요일  20:11:30	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:11:31	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:11:31	Spell Parse : 프라보
[사용일자] : 2018년 08월 18일 토요일  20:11:32	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:11:33	Spell Parse : 프라보
[사용일자] : 2018년 08월 18일 토요일  20:11:34	Spell Parse : 프라보
[사용일자] : 2018년 08월 18일 토요일  20:11:34	Spell Parse : 프라보
[사용일자] : 2018년 08월 18일 토요일  20:11:35	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:11:35	Spell Parse : 나르콜리
[사용일자] : 2018년 08월 18일 토요일  20:11:36	Spell Parse : 나르콜리
[사용일자] : 2018년 08월 18일 토요일  20:11:37	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:11:38	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:11:40	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:12:29	Spell Parse : 프라보
[사용일자] : 2018년 08월 18일 토요일  20:12:30	Spell Parse : 프라보
[사용일자] : 2018년 08월 18일 토요일  20:12:30	Spell Parse : 프라보
[사용일자] : 2018년 08월 18일 토요일  20:12:31	Spell Parse : 프라보
[사용일자] : 2018년 08월 18일 토요일  20:12:32	Spell Parse : 나르콜리
[사용일자] : 2018년 08월 18일 토요일  20:12:32	Spell Parse : 나르콜리
[사용일자] : 2018년 08월 18일 토요일  20:12:32	Spell Parse : 나르콜리
[사용일자] : 2018년 08월 18일 토요일  20:12:33	Spell Parse : 나르콜리
[사용일자] : 2018년 08월 18일 토요일  20:12:34	Spell Parse : 나르콜리
[사용일자] : 2018년 08월 18일 토요일  20:12:34	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:12:37	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:12:38	Skill Parse : 세오의비명
[사용일자] : 2018년 08월 18일 토요일  20:12:58	Spell Parse : 하이드
[사용일자] : 2018년 08월 18일 토요일  20:13:54	Spell Parse : 하이드
[사용일자] : 2018년 08월 18일 토요일  20:14:16	Skill Parse : 저격준비
[사용일자] : 2018년 08월 18일 토요일  20:14:16	Skill Parse : 저격준비
[사용일자] : 2018년 08월 18일 토요일  20:15:42	Npc Parse : 길레노아
[사용일자] : 2018년 08월 18일 토요일  20:15:45	Npc Parse : 길레노아
[사용일자] : 2018년 08월 18일 토요일  20:15:48	Npc Parse : 길레노아
