[사용일자] : 2018년 10월 27일 토요일  14:06:23	Skill Parse : 숏블레이드
[사용일자] : 2018년 10월 27일 토요일  14:06:25	Skill Parse : 돌진
[사용일자] : 2018년 10월 27일 토요일  14:06:26	Skill Parse : 메가어택
[사용일자] : 2018년 10월 27일 토요일  14:06:27	Skill Parse : 매드소울진
[사용일자] : 2018년 10월 27일 토요일  14:06:28	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:06:32	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:06:40	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:06:44	Skill Parse : 습격
[사용일자] : 2018년 10월 27일 토요일  14:06:51	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:07:06	Skill Parse : 메가어택
[사용일자] : 2018년 10월 27일 토요일  14:07:08	Skill Parse : 돌진
[사용일자] : 2018년 10월 27일 토요일  14:07:10	Skill Parse : 습격
[사용일자] : 2018년 10월 27일 토요일  14:07:13	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:07:21	Skill Parse : 매드소울진
[사용일자] : 2018년 10월 27일 토요일  14:07:22	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:07:30	Skill Parse : 메가어택
[사용일자] : 2018년 10월 27일 토요일  14:07:31	Skill Parse : 돌진
[사용일자] : 2018년 10월 27일 토요일  14:07:32	Skill Parse : 매드소울진
[사용일자] : 2018년 10월 27일 토요일  14:07:34	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:08:43	Npc Parse : 배틀도우미
[사용일자] : 2018년 10월 27일 토요일  14:08:48	Skill Parse : 돌진
[사용일자] : 2018년 10월 27일 토요일  14:08:50	Skill Parse : 포효
[사용일자] : 2018년 10월 27일 토요일  14:08:51	Skill Parse : 스톰블레이드
[사용일자] : 2018년 10월 27일 토요일  14:08:51	Skill Parse : 메가블레이드
[사용일자] : 2018년 10월 27일 토요일  14:08:54	Skill Parse : 데빌크래셔(세트효과)
[사용일자] : 2018년 10월 27일 토요일  14:08:58	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:09:01	Skill Parse : 바람의상처
[사용일자] : 2018년 10월 27일 토요일  14:09:03	Skill Parse : 퓨리소윌루(Lev6)
[사용일자] : 2018년 10월 27일 토요일  14:09:04	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:09:05	Skill Parse : 매드소울
[사용일자] : 2018년 10월 27일 토요일  14:09:08	Skill Parse : 바람의상처
[사용일자] : 2018년 10월 27일 토요일  14:09:09	Skill Parse : 데빌크래셔(세트효과)
[사용일자] : 2018년 10월 27일 토요일  14:09:10	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:09:16	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:09:18	Skill Parse : 퓨리소윌루(Lev6)
[사용일자] : 2018년 10월 27일 토요일  14:09:18	Skill Parse : 바람의상처
[사용일자] : 2018년 10월 27일 토요일  14:09:19	Skill Parse : 데빌크래셔(세트효과)
[사용일자] : 2018년 10월 27일 토요일  14:09:20	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:09:22	Skill Parse : 매드소울
[사용일자] : 2018년 10월 27일 토요일  14:09:23	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:09:25	Skill Parse : 바람의상처
[사용일자] : 2018년 10월 27일 토요일  14:09:26	Skill Parse : 데빌크래셔(세트효과)
[사용일자] : 2018년 10월 27일 토요일  14:09:28	Skill Parse : 퓨리소윌루(Lev6)
[사용일자] : 2018년 10월 27일 토요일  14:09:28	Skill Parse : 검신(檢身)
[사용일자] : 2018년 10월 27일 토요일  14:09:30	Skill Parse : 포효
[사용일자] : 2018년 10월 27일 토요일  14:09:53	Npc Parse : 배틀도우미
[사용일자] : 2018년 10월 27일 토요일  14:09:55	Npc Parse : 빛의여신
[사용일자] : 2018년 10월 27일 토요일  14:10:07	Skill Parse : 저격준비
[사용일자] : 2018년 10월 27일 토요일  14:10:08	Skill Parse : 저격(Lev6)
[사용일자] : 2018년 10월 27일 토요일  14:10:09	Skill Parse : 백발백중
[사용일자] : 2018년 10월 27일 토요일  14:10:11	Skill Parse : 저격준비
[사용일자] : 2018년 10월 27일 토요일  14:10:11	Skill Parse : 백발백중
[사용일자] : 2018년 10월 27일 토요일  14:10:11	Skill Parse : 저격준비
[사용일자] : 2018년 10월 27일 토요일  14:10:12	Skill Parse : 저격준비
[사용일자] : 2018년 10월 27일 토요일  14:10:13	Skill Parse : 습격
[사용일자] : 2018년 10월 27일 토요일  14:10:14	Skill Parse : 기습(세트효과)
[사용일자] : 2018년 10월 27일 토요일  14:10:14	Skill Parse : 저격준비
[사용일자] : 2018년 10월 27일 토요일  14:10:15	Skill Parse : 아머크래쉬(Lev3)
[사용일자] : 2018년 10월 27일 토요일  14:10:16	Spell Parse : 하이드
[사용일자] : 2018년 10월 27일 토요일  14:10:16	Skill Parse : 저격준비
[사용일자] : 2018년 10월 27일 토요일  14:10:16	Skill Parse : 백발백중
[사용일자] : 2018년 10월 27일 토요일  14:10:19	Skill Parse : 백발백중
[사용일자] : 2018년 10월 27일 토요일  14:10:22	Skill Parse : 백발백중
[사용일자] : 2018년 10월 27일 토요일  14:10:25	Skill Parse : 매드소울
[사용일자] : 2018년 10월 27일 토요일  14:10:25	Skill Parse : 크래셔
[사용일자] : 2018년 10월 27일 토요일  14:10:25	Skill Parse : 백발백중
[사용일자] : 2018년 10월 27일 토요일  14:10:28	Skill Parse : 아머크래쉬(Lev3)
[사용일자] : 2018년 10월 27일 토요일  14:10:28	Skill Parse : 저격준비
[사용일자] : 2018년 10월 27일 토요일  14:10:31	Skill Parse : 백발백중
[사용일자] : 2018년 10월 27일 토요일  14:10:32	Skill Parse : 저격(Lev6)
[사용일자] : 2018년 10월 27일 토요일  14:10:33	Skill Parse : 기습(세트효과)
[사용일자] : 2018년 10월 27일 토요일  14:10:33	Skill Parse : 아머크래쉬(Lev3)
[사용일자] : 2018년 10월 27일 토요일  14:10:35	Skill Parse : 습격
[사용일자] : 2018년 10월 27일 토요일  14:10:35	Skill Parse : 전체암살격진
[사용일자] : 2018년 10월 27일 토요일  14:10:37	Skill Parse : 저격준비
[사용일자] : 2018년 10월 27일 토요일  14:10:38	Skill Parse : 저격준비
[사용일자] : 2018년 10월 27일 토요일  14:10:39	Skill Parse : 백발백중
[사용일자] : 2018년 10월 27일 토요일  14:11:15	Npc Parse : 배틀도우미
[사용일자] : 2018년 10월 27일 토요일  14:11:18	Npc Parse : 빛의여신
[사용일자] : 2018년 10월 27일 토요일  14:11:23	Skill Parse : 메투스의깨달음
[사용일자] : 2018년 10월 27일 토요일  14:11:23	Skill Parse : 메투스의깨달음
[사용일자] : 2018년 10월 27일 토요일  14:11:24	Skill Parse : 메투스의깨달음
[사용일자] : 2018년 10월 27일 토요일  14:11:25	Spell Parse : 금강불괴
[사용일자] : 2018년 10월 27일 토요일  14:11:27	Spell Parse : 다라밀공(세트효과)
[사용일자] : 2018년 10월 27일 토요일  14:11:27	Spell Parse : 다라밀공(세트효과)
[사용일자] : 2018년 10월 27일 토요일  14:11:28	Spell Parse : 다라밀공(세트효과)
[사용일자] : 2018년 10월 27일 토요일  14:11:28	Skill Parse : 달마신공
[사용일자] : 2018년 10월 27일 토요일  14:11:29	Spell Parse : 반탄신공
[사용일자] : 2018년 10월 27일 토요일  14:11:29	Skill Parse : 구양신공
[사용일자] : 2018년 10월 27일 토요일  14:11:31	Skill Parse : 포이즌어택(Lev5)
[사용일자] : 2018년 10월 27일 토요일  14:11:35	Spell Parse : 원기옥
