[사용일자] : 2019년 01월 24일 목요일  10:58:35	Npc Parse : 별장지기
[사용일자] : 2019년 01월 24일 목요일  10:58:43	Spell Parse : 포트리스
[사용일자] : 2019년 01월 24일 목요일  10:58:43	Spell Parse : 델리스펠라스
[사용일자] : 2019년 01월 24일 목요일  10:58:45	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  10:58:46	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  10:58:48	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  10:59:04	Spell Parse : 신의파멸
[사용일자] : 2019년 01월 24일 목요일  11:00:08	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  11:00:08	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  11:00:08	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  11:00:09	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  11:00:10	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  11:00:14	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  11:00:35	Spell Parse : 포트리스
[사용일자] : 2019년 01월 24일 목요일  11:00:35	Spell Parse : 델리스펠라스
[사용일자] : 2019년 01월 24일 목요일  11:00:36	Spell Parse : 델리스펠라스
[사용일자] : 2019년 01월 24일 목요일  11:00:38	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  11:00:39	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  11:00:39	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  11:00:47	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  11:00:49	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  11:00:50	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  11:00:51	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  11:00:52	Spell Parse : 델리스펠라스
[사용일자] : 2019년 01월 24일 목요일  11:00:52	Spell Parse : 포트리스
[사용일자] : 2019년 01월 24일 목요일  11:00:53	Spell Parse : 포트리스
[사용일자] : 2019년 01월 24일 목요일  11:00:55	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  11:00:55	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  11:00:56	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  11:00:57	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  11:00:59	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  11:00:59	Spell Parse : 신의파멸
[사용일자] : 2019년 01월 24일 목요일  11:38:54	Skill Parse : 메투스의깨달음
[사용일자] : 2019년 01월 24일 목요일  11:39:05	Skill Parse : 메투스의깨달음
[사용일자] : 2019년 01월 24일 목요일  11:39:07	Skill Parse : 메투스의깨달음
[사용일자] : 2019년 01월 24일 목요일  11:39:20	Spell Parse : 원기옥
[사용일자] : 2019년 01월 24일 목요일  11:40:00	Skill Parse : 숏블레이드
[사용일자] : 2019년 01월 24일 목요일  11:40:01	Skill Parse : 기본공격
[사용일자] : 2019년 01월 24일 목요일  11:40:02	Skill Parse : 저격준비
[사용일자] : 2019년 01월 24일 목요일  11:40:04	Skill Parse : 백발백중
[사용일자] : 2019년 01월 24일 목요일  11:40:06	Skill Parse : 전체암살격진
[사용일자] : 2019년 01월 24일 목요일  11:40:07	Skill Parse : 바람의상처
[사용일자] : 2019년 01월 24일 목요일  11:40:31	Skill Parse : 바람의상처
[사용일자] : 2019년 01월 24일 목요일  11:40:35	Skill Parse : 검신(檢身)
[사용일자] : 2019년 01월 24일 목요일  11:40:38	Skill Parse : 검신(檢身)
[사용일자] : 2019년 01월 24일 목요일  11:40:48	Skill Parse : 검신(檢身)
[사용일자] : 2019년 01월 24일 목요일  11:40:50	Skill Parse : 검신(檢身)
[사용일자] : 2019년 01월 24일 목요일  11:40:52	Skill Parse : 기본공격
[사용일자] : 2019년 01월 24일 목요일  11:40:53	Skill Parse : 숏블레이드
[사용일자] : 2019년 01월 24일 목요일  11:40:53	Skill Parse : 저격준비
[사용일자] : 2019년 01월 24일 목요일  11:40:58	Skill Parse : 백발백중
[사용일자] : 2019년 01월 24일 목요일  11:41:00	Skill Parse : 백발백중
[사용일자] : 2019년 01월 24일 목요일  11:41:02	Skill Parse : 백발백중
[사용일자] : 2019년 01월 24일 목요일  11:41:04	Skill Parse : 백발백중
[사용일자] : 2019년 01월 24일 목요일  11:41:06	Skill Parse : 백발백중
[사용일자] : 2019년 01월 24일 목요일  11:41:09	Spell Parse : 성장(소환사)
[사용일자] : 2019년 01월 24일 목요일  11:41:09	Skill Parse : 전체암살격진
[사용일자] : 2019년 01월 24일 목요일  11:41:15	Spell Parse : 성장(소환사)
[사용일자] : 2019년 01월 24일 목요일  11:42:39	Npc Parse : 직업도우미
[사용일자] : 2019년 01월 24일 목요일  11:43:48	Spell Parse : 플라미칼로
[사용일자] : 2019년 01월 24일 목요일  11:43:48	Spell Parse : 델리스펠라스
[사용일자] : 2019년 01월 24일 목요일  11:43:49	Spell Parse : 포트리스
[사용일자] : 2019년 01월 24일 목요일  13:58:53	Npc Parse : 뮤레칸
[사용일자] : 2019년 01월 24일 목요일  15:37:01	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:37:05	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:37:16	Spell Parse : 신의파멸
[사용일자] : 2019년 01월 24일 목요일  15:37:36	Npc Parse : 지하수로C도우미
[사용일자] : 2019년 01월 24일 목요일  15:37:44	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:37:53	Spell Parse : 신의파멸
[사용일자] : 2019년 01월 24일 목요일  15:40:25	Npc Parse : 로건
[사용일자] : 2019년 01월 24일 목요일  15:40:33	Npc Parse : 셔트
[사용일자] : 2019년 01월 24일 목요일  15:40:33	Npc Parse : 셔트
[사용일자] : 2019년 01월 24일 목요일  15:41:48	Npc Parse : 지하수로D도우미
[사용일자] : 2019년 01월 24일 목요일  15:41:49	Npc Parse : 지하수로D도우미
[사용일자] : 2019년 01월 24일 목요일  15:44:19	Spell Parse : 포트리스
[사용일자] : 2019년 01월 24일 목요일  15:44:19	Spell Parse : 델리스펠라스
[사용일자] : 2019년 01월 24일 목요일  15:44:21	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:44:30	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:44:31	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:44:32	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:44:34	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:44:35	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:44:35	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:44:36	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:44:36	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:44:40	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:44:40	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:44:41	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:44:42	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:44:45	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:44:49	Spell Parse : 쿠로
[사용일자] : 2019년 01월 24일 목요일  15:44:49	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:44:51	Spell Parse : 쿠로
[사용일자] : 2019년 01월 24일 목요일  15:44:51	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:44:52	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:44:55	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:45:06	Npc Parse : 로오스롬
[사용일자] : 2019년 01월 24일 목요일  15:45:11	Npc Parse : 로오스롬
[사용일자] : 2019년 01월 24일 목요일  15:45:14	Npc Parse : 로오스롬
[사용일자] : 2019년 01월 24일 목요일  15:45:19	Npc Parse : 로오스롬
[사용일자] : 2019년 01월 24일 목요일  15:45:23	Npc Parse : 로오스롬
[사용일자] : 2019년 01월 24일 목요일  15:45:27	Npc Parse : 로오스롬
[사용일자] : 2019년 01월 24일 목요일  15:45:31	Npc Parse : 로오스롬
[사용일자] : 2019년 01월 24일 목요일  15:45:36	Npc Parse : 로오스롬
[사용일자] : 2019년 01월 24일 목요일  15:45:41	Npc Parse : 로오스롬
[사용일자] : 2019년 01월 24일 목요일  15:45:44	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:45:44	Npc Parse : 로오스롬
[사용일자] : 2019년 01월 24일 목요일  15:45:47	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:45:49	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:45:49	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:45:49	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:45:50	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:45:50	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:45:51	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:45:54	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:46:01	Spell Parse : 쿠라노
[사용일자] : 2019년 01월 24일 목요일  15:46:07	Npc Parse : 시나
[사용일자] : 2019년 01월 24일 목요일  15:46:12	Npc Parse : 시나
[사용일자] : 2019년 01월 24일 목요일  15:46:12	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:12	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:15	Npc Parse : 시나
[사용일자] : 2019년 01월 24일 목요일  15:46:19	Npc Parse : 시나
[사용일자] : 2019년 01월 24일 목요일  15:46:22	Npc Parse : 시나
[사용일자] : 2019년 01월 24일 목요일  15:46:26	Npc Parse : 시나
[사용일자] : 2019년 01월 24일 목요일  15:46:27	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:46:27	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:46:28	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:46:29	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:30	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:30	Npc Parse : 시나
[사용일자] : 2019년 01월 24일 목요일  15:46:30	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:30	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:31	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:31	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:32	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:33	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:33	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:33	Npc Parse : 시나
[사용일자] : 2019년 01월 24일 목요일  15:46:34	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:34	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:35	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:35	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:36	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:36	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:37	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:38	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:38	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:39	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:46:43	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:46:49	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:46:50	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:46:51	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:46:55	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:46:56	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:46:56	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:46:57	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:46:57	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:46:58	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:47:00	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:47:01	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:47:16	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:16	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:17	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:17	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:19	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:19	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:20	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:21	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:28	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:47:29	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:47:40	Npc Parse : 사리
[사용일자] : 2019년 01월 24일 목요일  15:47:40	Npc Parse : 사리
[사용일자] : 2019년 01월 24일 목요일  15:47:42	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:47:42	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:47:43	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:47:43	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:47:45	Npc Parse : 사리
[사용일자] : 2019년 01월 24일 목요일  15:47:49	Npc Parse : 사리
[사용일자] : 2019년 01월 24일 목요일  15:47:52	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:53	Npc Parse : 사리
[사용일자] : 2019년 01월 24일 목요일  15:47:53	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:54	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:54	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:54	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:55	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:56	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:56	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:57	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:57	Npc Parse : 사리
[사용일자] : 2019년 01월 24일 목요일  15:47:57	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:47:58	Spell Parse : 소환술3
