오렌스카웃튜닉화	오렌스카웃튜닉화	4	4500	1	0	0	0	3000	-14	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
밀레스풍월도복토	밀레스풍월도복토	8	50550	1	0	0	0	9000	-31	0	0	0	0	0	0	0	0	0	5	0	41	0	0	0	0	1
셔스의가죽팔찌	셔스의가죽팔찌	2	15000	1	0	0	0	3000	-1	0	0	0	0	0	1	0	0	0	5	0	11	0	0	0	0	2
월단검토	월단검토	9	36000	1	0	0	0	8000	0	0	0	0	0	0	0	0	0	0	2	0	41	0	0	49m69	4m6	2
가발 W27(30일)	가발 W27(30일)	0	100	1	1	1	0	15000000	-2	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	1
풀플레이트투구	풀플레이트투구	3	20000	1	0	0	0	21000	-4	0	0	0	0	0	0	0	0	0	1	0	86	0	0	0	0	0
미디블레이디드레스	미디블레이디드레스	0	10	1	1	1	0	3000000	-2	5	5	800	200	0	0	0	0	0	0	0	1	0	0	0	0	1
루캐트의윙FX	루캐트의윙FX	0	1000000000	0	0	1	0	3000000	0	5	5	1500	1000	0	0	0	0	0	0	0	1	0	0	0	0	2
오렌클라미스토	오렌클라미스토	7	86250	1	0	0	0	5500	-44	0	0	0	-500	0	0	-5	0	0	3	0	99	10	1	0	0	1
오피스정장의상(여)	오피스정장의상(여)	0	10	1	1	1	0	3000000	-2	5	5	800	200	0	0	0	0	0	0	0	1	0	0	0	0	1
오렌바르도클화	오렌바르도클화	12	174500	1	0	0	0	7500	-57	10	1	-900	0	0	-5	0	0	0	2	0	99	0	0	0	0	0
죽마모9	워어렛모자	1	50000	1	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
이아의호안석반지	이아의호안석반지	1	250000	1	0	0	0	4000	0	0	0	200	100	0	0	0	1	0	0	0	11	0	0	0	0	2
일단검화	일단검화	13	115000	1	0	0	0	12000	0	0	0	0	0	0	0	0	0	0	2	0	71	0	0	83m103	7m9	2
가발 W09	가발 W09	0	100	1	1	1	0	15000000	-2	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	1
단도복수	단도복수	6	17700	1	0	0	0	6000	-20	0	0	0	0	0	0	0	0	0	5	0	11	0	0	0	0	0
칸의금장갑R	칸의금장갑R	4	5000000	1	0	0	0	9000	-4	0	0	0	0	0	0	0	0	0	0	0	99	0	1	0	0	2
그린혼베레모	그린혼베레모	0	510000	1	0	0	0	15000	-3	3	3	0	0	0	0	0	0	0	0	0	1	10	1	0	0	2
쥬얼목걸이FX	쥬얼목걸이FX	0	10	1	1	1	0	15000000	-1	3	3	0	0	0	0	0	0	0	0	0	1	10	1	0	0	2
퓨어블랙부츠(30일)	퓨어블랙부츠(30일)	0	10	1	1	1	0	10000000	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	2
스톨라	스톨라	6	14750	1	0	0	0	9000	-24	0	0	0	0	0	0	0	0	0	3	0	41	0	0	0	0	1
오렌아마존아머화	오렌아마존아머화	16	174750	1	0	0	0	15000	-40	0	0	0	0	0	0	0	0	0	1	0	56	0	0	0	0	1
체력의신발R	체력의신발	1	5000	1	0	0	0	3000	0	0	0	100	0	0	0	0	0	0	0	0	1	0	0	0	0	2
신발9	신발9	1	5000	1	0	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
곡단도2	신월도	15	1000000	1	0	0	0	31000	0	0	0	0	0	0	0	0	0	0	2	0	99	0	0	165m170	16m17	2
흑요석몽크장갑	흑요석몽크장갑	0	2000	0	0	0	1	12000	-4	0	2	200	0	0	0	0	0	1	5	0	99	0	0	0	0	2
오렌매직스커트화	오렌매직스커트화	4	3750	1	0	0	0	3000	-12	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1
얼룩카우의상	얼룩카우의상	0	10	1	1	1	0	3000000	-2	4	4	200	800	0	0	0	0	0	0	0	1	0	0	0	0	2
오렌매직로브토	오렌매직로브토	10	92400	1	0	0	0	5500	-47	0	0	0	-500	0	0	0	-5	0	4	0	99	5	2	0	0	1
이아의나무방패	이아의나무방패	2	500	1	0	0	0	10	-3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
오리엔탈의상	오리엔탈의상	0	10	1	1	1	0	3000000	-3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
엘레맨틀	엘레맨틀	7	15800	1	0	0	0	9000	-26	0	0	0	0	0	0	0	0	0	4	0	41	0	0	0	0	1
대양도복토	대양도복토	14	98550	1	0	0	0	15000	-50	0	0	0	0	0	0	0	0	0	5	0	99	0	0	0	0	1
풍요의사파이어반지	풍요의사파이어반지	1	250000	1	0	0	0	4000	0	0	1	300	0	0	0	0	0	0	0	0	11	0	0	0	0	2
루어스풍월도복수	루어스풍월도복수	8	33700	1	0	0	0	9000	-30	0	0	0	0	0	0	0	0	0	5	0	41	0	0	0	0	1
이아의기사단방패	이아의기사단방패	9	93750	1	0	0	0	17000	-20	0	0	0	0	0	0	0	1	0	0	0	99	0	3	0	0	2
바다의젬스필목걸이	바다의젬스필목걸이	1	15000	1	0	0	0	2500	0	5	1	0	0	0	0	0	0	0	0	0	41	0	0	0	0	2
쥐순이모자	쥐순이모자	0	10	1	1	1	0	3000000	-7	5	5	500	500	0	0	0	0	0	0	0	1	0	0	0	0	1
오렌로브화	오렌로브화	4	4000	1	0	0	0	3000	-12	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1
체력의동각반	체력의동각반	6	100000	1	0	0	0	6000	-4	0	0	100	0	0	0	0	0	0	0	0	41	0	0	0	0	2
진빨강색목도리(남)	진빨강색목도리(남)	1	1500000	1	0	0	0	30000	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
s야생전사의상(+1)	야생전사의상(+1)	0	1000000000	0	0	0	0	3000000	-3	5	5	500	500	0	0	0	0	0	0	0	1	0	0	0	0	0
체력의금장갑	체력의금장갑	5	600000	1	0	0	0	9000	-4	0	0	100	0	0	0	0	0	0	0	0	99	0	0	0	0	2
패치씨앗5화분	패치씨앗5화분	3	100	1	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4m14	1m2	2
가발 M25(7일)	가발 M25(7일)	0	100	1	1	1	0	15000000	-2	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	0
아테나의귀걸이	아테나의귀걸이	0	100000	0	0	1	0	1000	0	0	0	0	0	1	0	1	0	0	0	0	11	0	0	0	0	2
마법의루비귀걸이	마법의루비귀걸이	1	50000	1	0	0	0	1000	0	0	0	0	50	1	0	1	0	0	0	0	11	0	0	0	0	2
커스프람베르그	커스프람베르그	10	3300000	1	0	0	0	1300000	5	0	0	500	500	1	1	0	-1	-1	2	1	99	0	2	335m365	33m36	2
홀리가디언스태프	홀리가디언스태프	3	30000	1	0	0	0	30000	0	0	0	0	0	0	0	0	0	0	4	0	41	0	0	4m8	6m8	2
토끼	애완토끼	5	1500	1	0	0	0	6000	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	18m28	18m28	2
브리간딘풍	브리간딘풍	6	37600	1	0	0	0	6000	-23	0	0	0	0	0	0	0	0	0	2	0	11	0	0	0	0	1
루어스다크로럼수	루어스다크로럼수	10	57500	1	0	0	0	15000	-41	0	0	0	0	0	0	0	0	0	3	0	99	0	0	0	0	0
홀리코니칼	홀리코니칼	1	10000	1	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2
녹색풍선	녹색풍선	1	5000	1	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1m3	1m5	2
보라하트풍선	보라하트풍선	1	5000	1	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1m3	1m5	2
루어스길드소드	루어스길드소드	7	1500	1	0	0	0	70000	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	180m210	190m190	2
연녹색부츠	연녹색부츠	2	300000	1	0	0	0	10000	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	2
