축구심판복	의상류	모든직업    레벨41 (AC -1), 무게1
한국축구복	의상류	모든직업    레벨41 (AC -1), 무게1
일본축구복	의상류	모든직업    레벨41 (AC -1), 무게1
소왕관	모자류	여자 이벤트용의상 레벨11 (AC  0), 무게 1
셔츠	의상류	평민 남자용 셔츠. 활동하기 편하다. 소문으로는 밀레스 여관의 여관주인이 매일 나오는 쥐들을 잡아다가 그 털로 만든다는 소문이 있지만 어떠랴.따뜻한것을..
망토	의상류	남자 이벤트의상   레벨 1 (AC - 2), 무게 4
밀레스길드옷	의상류	남자 공식길드복   레벨 1 (AC - 2), 무게 4
수오미길드옷	의상류	남자 공식길드복   레벨 1 (AC - 2), 무게 4
아벨길드옷	의상류	남자 공식길드복   레벨 1 (AC - 2), 무게 4
뤼케시온길드옷	의상류	남자 공식길드복   레벨 1 (AC - 2), 무게 4
루어스길드옷	의상류	남자 공식길드복   레벨 1 (AC - 2), 무게 4
턱시도	의상류	남자 이벤트의상   레벨 11 (AC - 2), 무게 4
트렁크	의상류	남자 이벤트의상   레벨11 (AC - 1), 무게 1
크라운	의상류	남자 이벤트의상   레벨11 (AC - 2), 무게 4
배트맨	의상류	남자 이벤트의상   레벨11 (AC - 2), 무게 4
비즈컨트	의상류	남자 이벤트의상   레벨11 (AC - 2), 무게 4	
마퀴스	의상류	남자 이벤트의상   레벨11 (AC - 2), 무게 4	
듀크	의상류	남자 이벤트의상   레벨11 (AC - 2), 무게 4	
바론	의상류	남자 이벤트의상   레벨11 (AC - 2), 무게 4	
남자스키복	의상류	남자 이벤트의상   레벨41 (AC - 2), 무게 4	
세인트후드	모자류	남자 승급성직자	레벨 99 (AC -52), Wei 10
마스터아머	의상류	승급전사용  레벨 99 (AC -70), Wei 15	
무상도복	의상류	남자 승급무도가  레벨 99 (AC -62), Wei 13	
스카우트아머	의상류	남자 승급도적용  레벨 99 (AC -62), Wei 12	
다크후드	모자류	남자 승급마법사	 레벨 99 (AC -50), Wei 10
마스터투구	모자류	여자 승급전사  레벨99(AC  -10), 무게 8	
무상관	모자류	남자  승급무도가 레벨99(AC  -7), 무게 8	
월영관	모자류	여자  승급무도가 레벨99(AC  -7), 무게 8	
레더튜닉	의상류	남자 전사용   레벨 1 (AC -11), 무게 4	
레더튜닉수	의상류	남자 전사용   레벨 1 (AC -12), 무게 4	
레더튜닉토	의상류	남자 전사용   레벨 1 (AC -13), 무게 4
레더튜닉풍	의상류	남자 전사용   레벨 1 (AC -14), 무게 4
레더튜닉화	의상류	남자 전사용   레벨 1 (AC -15), 무게 4
수오미레더튜닉	의상류	남자 전사용   레벨 1 (AC -11), 무게 4
수오미레더튜닉수	의상류	남자 전사용   레벨 1 (AC -12), 무게 4
수오미레더튜닉토	의상류	남자 전사용   레벨 1 (AC -13), 무게 4
수오미레더튜닉풍	의상류	남자 전사용   레벨 1 (AC -14), 무게 4
수오미레더튜닉화	의상류	남자 전사용   레벨 1 (AC -15), 무게 4
뤼케시온레더튜닉	의상류	남자 전사용   레벨 1 (AC -11), 무게 4
뤼케시온레더튜닉수	의상류	남자 전사용   레벨 1 (AC -12), 무게 4
뤼케시온레더튜닉토	의상류	남자 전사용   레벨 1 (AC -13), 무게 4
뤼케시온레더튜닉풍	의상류	남자 전사용   레벨 1 (AC -14), 무게 4
뤼케시온레더튜닉화	의상류	남자 전사용   레벨 1 (AC -15), 무게 4
루어스레더튜닉	의상류	남자 전사용   레벨 1 (AC -11), 무게 4
루어스레더튜닉수	의상류	남자 전사용   레벨 1 (AC -12), 무게 4
루어스레더튜닉토	의상류	남자 전사용   레벨 1 (AC -13), 무게 4
루어스레더튜닉풍	의상류	남자 전사용   레벨 1 (AC -14), 무게 4
루어스레더튜닉화	의상류	남자 전사용   레벨 1 (AC -15), 무게 4
밀레스레더튜닉	의상류	남자 전사용   레벨 1 (AC -11), 무게 4
밀레스레더튜닉수	의상류	남자 전사용   레벨 1 (AC -12), 무게 4
밀레스레더튜닉토	의상류	남자 전사용   레벨 1 (AC -13), 무게 4
밀레스레더튜닉풍	의상류	남자 전사용   레벨 1 (AC -14), 무게 4
밀레스레더튜닉화	의상류	남자 전사용   레벨 1 (AC -15), 무게 4
지폰	의상류	남자 전사용   레벨11 (AC -17), 무게 7
지폰수	의상류	남자 전사용   레벨11 (AC -18), 무게 7
지폰토	의상류	남자 전사용   레벨11 (AC -19), 무게 7
지폰풍	의상류	남자 전사용   레벨11 (AC -20), 무게 7
지폰화	의상류	남자 전사용   레벨11 (AC -21), 무게 7
수오미지폰	의상류	남자 전사용   레벨11 (AC -17), 무게 7
수오미지폰수	의상류	남자 전사용   레벨11 (AC -18), 무게 7
수오미지폰토	의상류	남자 전사용   레벨11 (AC -19), 무게 7
수오미지폰풍	의상류	남자 전사용   레벨11 (AC -20), 무게 7
수오미지폰화	의상류	남자 전사용   레벨11 (AC -21), 무게 7
뤼케시온지폰	의상류	남자 전사용   레벨11 (AC -17), 무게 7
뤼케시온지폰수	의상류	남자 전사용   레벨11 (AC -18), 무게 7
뤼케시온지폰토	의상류	남자 전사용   레벨11 (AC -19), 무게 7
뤼케시온지폰풍	의상류	남자 전사용   레벨11 (AC -20), 무게 7
뤼케시온지폰화	의상류	남자 전사용   레벨11 (AC -21), 무게 7
루어스지폰	의상류	남자 전사용   레벨11 (AC -17), 무게 7
루어스지폰수	의상류	남자 전사용   레벨11 (AC -18), 무게 7
루어스지폰토	의상류	남자 전사용   레벨11 (AC -19), 무게 7
루어스지폰풍	의상류	남자 전사용   레벨11 (AC -20), 무게 7
루어스지폰화	의상류	남자 전사용   레벨11 (AC -21), 무게 7
밀레스지폰	의상류	남자 전사용   레벨11 (AC -17), 무게 7
밀레스지폰수	의상류	남자 전사용   레벨11 (AC -18), 무게 7
밀레스지폰토	의상류	남자 전사용   레벨11 (AC -19), 무게 7
밀레스지폰풍	의상류	남자 전사용   레벨11 (AC -20), 무게 7
밀레스지폰화	의상류	남자 전사용   레벨11 (AC -21), 무게 7
하프플레이트	의상류	남자 전사용   레벨26 (AC -24), 무게10
하프플레이트수	의상류	남자 전사용   레벨26 (AC -25), 무게10
하프플레이트토	의상류	남자 전사용   레벨26 (AC -26), 무게10
하프플레이트풍	의상류	남자 전사용   레벨26 (AC -27), 무게10
하프플레이트화	의상류	남자 전사용   레벨26 (AC -28), 무게10
수오미하프플레이트	의상류	남자 전사용   레벨26 (AC -24), 무게10
수오미하프플레이트수	의상류	남자 전사용   레벨26 (AC -25), 무게10
