집중	타격치 상승 
쿠로토	체력회복 
아들레스투	아이템 감정 
룬블레이드	메가블레이드 상위기술
스톰블레이드	윈드블레이드 상위기술
매드소울진	매드소울 상위기
포효	화면 내 모든 몹에 바투 
돌진	전방 돌진공격
메가어택	랜덤하게 4회 공격
피닉스모드	칼 끝을 예리하게 
크래셔	초필살기
매드소울	필살기
완전방어	일정시간 기술 완전방어
적무기쳐내기	상대방의 무기를 쳐냄
드래곤모드	용의 기운을 빌린다
투핸드어택	양손무기 공격
아이템고치기 일정 확율로 아이템 수리
바투	마비 시전
메가블레이드	주위 사방공격 
트리플어택	랜덤하게 3회 공격 
디바투	마비해제
윈드블레이드	전방 일직선 공격
더블어택	랜덤하게 2회 공격
프렌치키스	결혼의 댓가
레스큐	몹이 날 보게 한다
탐색	현재위치 보기
문열기	건물 문 열기
기본공격	기본 전방 1회 공격
검투술(Lev1)	검투사 기본스킬
검투술(Lev2)	검투사 기본스킬
검투술(Lev3)	검투사 기본스킬
검투술(Lev4)	검투사 기본스킬
검투술(Lev5)	검투사 기본스킬
검투술(Lev6)	검투사 기본스킬
검투술(Lev7)	검투사 기본스킬
검투술(Lev8)	검투사 기본스킬
내려치기(Lev1)	검투술 내려베기
내려치기(Lev2)	검투술 내려베기
내려치기(Lev3)	검투술 내려베기
내려치기(Lev4)	검투술 내려베기
내려치기(Lev5)	검투술 내려베기
내려치기(Lev6)	검투술 내려베기
내려치기(Lev7)	검투술 내려베기
내려치기(Lev8)	검투술 내려베기
사방치기(Lev1)	검투술 돌려베기
사방치기(Lev2)	검투술 돌려베기
사방치기(Lev3)	검투술 돌려베기
사방치기(Lev4)	검투술 돌려베기
사방치기(Lev5)	검투술 돌려베기
사방치기(Lev6)	검투술 돌려베기
사방치기(Lev7)	검투술 돌려베기
사방치기(Lev8)	검투술 돌려베기
퓨리소윌루(Lev1) 검투술 필살베기
퓨리소윌루(Lev2) 검투술 필살베기
퓨리소윌루(Lev3) 검투술 필살베기
퓨리소윌루(Lev4) 검투술 필살베기
퓨리소윌루(Lev5) 검투술 필살베기
퓨리소윌루(Lev6) 검투술 필살베기
퓨리소윌루(Lev7) 검투술 필살베기
퓨리소윌루(Lev8) 검투술 필살베기
자물쇠열기  (미구현)
문열기	건물 문 열기
센스	유저 정보 보기 
품뒤져보기	유저 아이템 훔쳐보기
더블어택	랜덤 2회 공격
찔러휘비기	전방 공격 1단계 
연막탄터뜨리기	연막을 편다 
아무네지아	몬스터 혼란 
밀기	유저 밀기
표창날리기	표창 던지기 
센스몬스터	몬스터 속성파악 
습격진	습격 상위기술
함정파기	함정 생성
트리플어택	랜덤 3회 공격
기습	갑옷 해체 + 습격
암살격	필살기
적갑옷해체	유저 갑옷 해체
함정해체	함정을 해체
습격	상대가 모르게 공격
두번찌르기	전방 공격 2단계
하이더	다른 사람 모습 숨겨주기 
함정찾기2	4서클 이상의 함정찾기
센서스	투명 물체 보기 
함정찾기1	3서클 이하 함정 찾기 
하이드	자기 몸 숨기기 
라이트닝무브	적공격 회피술 
슬래쉬	두번찌르기 상위기술 
마구찌르기	찔러휘비기 상위기술
암살격진	암살격 상위기술
데빌크래셔 크래셔 상위기술
백스탭	순수도적 전용기술
백슬레쉬	순수도적 전용기술 
사격(Lev1)	궁수 기본스킬
사격(Lev2)	궁수 기본스킬
사격(Lev3)	궁수 기본스킬
사격(Lev4)	궁수 기본스킬
사격(Lev5)	궁수 기본스킬
사격(Lev6)	궁수 기본스킬
사격(Lev7)	궁수 기본스킬
사격(Lev8)	궁수 기본스킬
활쏘기(Lev1)	활 공격
활쏘기(Lev2)	활 공격
활쏘기(Lev3)	활 공격
활쏘기(Lev4)	활 공격
활쏘기(Lev5)	활 공격
활쏘기(Lev6)	활 공격
활쏘기(Lev7)	활 공격
활쏘기(Lev8)	활 공격
Charge(Lev1)	기력을 모아 사격
Charge(Lev2)	기력을 모아 사격
Charge(Lev3)	기력을 모아 사격
Charge(Lev4)	기력을 모아 사격
Charge(Lev5)	기력을 모아 사격
Charge(Lev6)	기력을 모아 사격
Charge(Lev7)	기력을 모아 사격
Charge(Lev8)	기력을 모아 사격
수페라마레나	수공격 1단계 사방공격 
콘푸지오	몬스터를 내 편으로 
플라모	화공격 1단계 
아듀로	풍공격 1단계 
테라미코	토공격 1단계 
렌토	저주 1단계 
아지토	여관으로 이동 
마레노	수공격 1단계 
나르콜리	잠재우기 
플라무스	화공격 2단계 
아듀로스	풍공격 2단계 
테라미쿠스	토공격 2단계 
마레누스	수공격 2단계 
바르도	저주 2단계 
베노미	중독시키기 
슈페라플라미카	1단계 사방공격 
슈페라아듀라	1단계 사방공격 
수페라테라미카	1단계 사방공격 
아듀레나	풍공격 3단계 
테라미에라	토공격 3단계 
마레네라	수공격 3단계 
데프레코	저주 3단계 
딜루메니	몬스터 시력감소 
로카테오	상대방 순간이동 
엑스플라미카	화공격 2단계 주변공격 
엑스아듀라	풍공격 2단계 주변공격 
엑스테라미카	토공격 2단계 주변공격 
엑스마레나	수공격 2단계 주변공격 
아마게돈	필살기 사방공격 
세멜리아	필살기 
데스	중독 2단계 즉사마법
프라보	저주 4단계
플라미칼로	화공격 3단계 전체공격 
아듀랄로	풍공격 3단계 전체공격 
테라미칼로	토공격 3단계 전체공격 
마네나로	수공격 3단계 전체공격 
소루마	적 얼리기 
플라메라	화공격 3단계 
플레어	화공격 4단계 
클레쉬스톰	풍공격 4단계 
퀘이크	토공격 4단계 
아이스블러스트	수공격 4단계 
어둠의각인	저주 5단계 
매직프로텍션	자기보호 
속성강화	해당속성 강화 
메테오	운석소환 전체공격 
라그나로크	전체공격 
숨마스텔라	주변공격
렌티아	전체 렌토
바르데아	전체 바르도
데프레타	전체 데프레코
프라베라	전체 프라보
델리스펠라스	마법공격 방어
포트리스	기술공격 방어
소환술(Lev1) 정령의 가호를 받는다
소환술(Lev2) 정령의 가호를 받는다
소환술(Lev3) 정령의 가호를 받는다
소환술(Lev4) 정령의 가호를 받는다
소환술(Lev5) 정령의 가호를 받는다
소환술(Lev6) 정령의 가호를 받는다
소환술(Lev7) 정령의 가호를 받는다
소환술(Lev8) 정령의 가호를 받는다
화이라소환1	화염의 정령 소환
화이라소환2	화염의 정령 소환
화이라소환3	화염의 정령 소환
화이라소환4	화염의 정령 소환
화이라소환5	화염의 정령 소환
화이라소환6	화염의 정령 소환
화이라소환7	화염의 정령 소환
화이라소환8	화염의 정령 소환
윌리아소환1	바람의 정령 소환
윌리아소환2	바람의 정령 소환
윌리아소환3	바람의 정령 소환
윌리아소환4	바람의 정령 소환
윌리아소환5	바람의 정령 소환
윌리아소환6	바람의 정령 소환
윌리아소환7	바람의 정령 소환
윌리아소환8	바람의 정령 소환
라세소환1	대지의 정령 소환
라세소환2	대지의 정령 소환
라세소환3	대지의 정령 소환
라세소환4	대지의 정령 소환
라세소환5	대지의 정령 소환
라세소환6	대지의 정령 소환
라세소환7	대지의 정령 소환
라세소환8	대지의 정령 소환
일리안소환1	해수의 정령 소환
일리안소환2	해수의 정령 소환
일리안소환3	해수의 정령 소환
일리안소환4	해수의 정령 소환
일리안소환5	해수의 정령 소환
일리안소환6	해수의 정령 소환
일리안소환7	해수의 정령 소환
일리안소환8	해수의 정령 소환
디렌토	렌토 풀기 
쿠로	힐링 1단계 
수혈	자신의 체력 약간 주기 
디나르콜리	수면상태해제 
쿠라노소	힐링 3단계 
베누스티	몬스터를 아군으로 
에나르마	공격력 강화 
디베노모	중독 해제 
쿠러스	그룹체력 회복 1단계 
디바르도	바르도 해제 
쿠라노	힐링 2단계 
벨라르모	축복 1단계 
아지토	여관으로 이동 
수페라쿠라노	힐링 4단계 
로카메아	유저 소환 
수페라벨라르모	축복 2단계 
콜라마	방어력 상승 
실드	자기주변 보호막 
쿠랄툼	자기재생력 향상 
일루메나	시력회복 
홀리볼트	빛속성 공격마법 
쿠라누스	그룹체력 회복 2단계 
디데프레카	데프레코 풀기 
엑스쿠라노	힐링 5단계 
디내추라	몬스터 속성 바꾸기 
리플렉토	마법공격반사 
이모탈	약 20초간 무적 
호르라마	타격치를 반으로 
소모니아	몬스터를 소환 
쿠라네라	그룹회복 3단계 
디소루마	얼림 풀기 
리치마나	그룹원 마나 빼오기 
디프라바	프라보 풀기 
수페라에나르마	에나르마 상위마법
엑스벨라룸	수페라벨라르모 상위마법 
홀리드래곤	전체 마법공격 
홀리큐어	어둠의각인 해제 
신의 축복	세트 축복
칸의 축복	마법 방어력 상승 
홀리쿠라노	힐링 6단계 
코마디아	혼수상태 회복 
리베라토	모든 마법 해제 
엑스쿠라네라	그룹회복 4단계 
디렌타	그룹 전원 디렌토
디바르디아	그룹 전원 디바르도
디프라베라	그룹 전원 디프라바
디데프레타	그룹 전원 디데프레코
홀리큐레스	그룹 전원 홀리큐어
디나르콜룸	그룹 전원 디나르콜리
일루메룸	그룹 전원 일루메나
디소루메라	그룹 전원 디소루마
연주(Lev1)	음악연주 기본스킬
연주(Lev2)	음악연주 기본스킬
연주(Lev3)	음악연주 기본스킬
연주(Lev4)	음악연주 기본스킬
연주(Lev5)	음악연주 기본스킬
연주(Lev6)	음악연주 기본스킬
연주(Lev7)	음악연주 기본스킬
연주(Lev8)	음악연주 기본스킬
연주공격(Lev1)	연주를 통한 공격
연주공격(Lev2)	연주를 통한 공격
연주공격(Lev3)	연주를 통한 공격
연주공격(Lev4)	연주를 통한 공격
연주공격(Lev5)	연주를 통한 공격
연주공격(Lev6)	연주를 통한 공격
연주공격(Lev7)	연주를 통한 공격
연주공격(Lev8)	연주를 통한 공격
통배권	상대 중독 
양의신권	2회 공격 
이형환위	앞 상대 뛰어넘기 
단각	앞차기 
허공답보	날아 발차기 
구양신공	사방 필살기 
달마신공	정면 필살기 
소수신공	두 손 타격강화 
발경	상대방 얼리기 
