	아이디		체력		마력		순위
========================================================================================
          던힐라이트	               884939	               613344	                    1
                악동	               305640	               360612	                    2
              무도가	               836934	               345350	                    3
                토끼	               500901	               340475	                    4
                셔스	               580942	               300350	                    5
            카리스마	               535638	               300341	                    6
          왕이된남자	               242938	               273344	                    7
                초보	               177208	               249351	                    8
                던힐	               249638	               249338	                    9
                모모	                18839	               240897	                   10
                사신	              1216117	               222344	                   11
                사나	               105601	               201427	                   12
                애플	               635876	               167345	                   13
                데빌	              2480521	               141344	                   14
                피망	               404640	                98340	                   15
                후니	                99634	                82696	                   16
                신사	               484643	                72352	                   17
                후닝	                52835	                72335	                   18
                법사	                52835	                71869	                   19
                돌돌	               266935	                52344	                   20
                파워	               102801	                42316	                   21
              왕초보	                16787	                32836	                   22
              마법사	                 2801	                29316	                   23
                여신	                 1821	                 1562	                   24
                촙자	                 1226	                 1043	                   25
            학살귀족	                  727	                  636	                   26
                법도	                  535	                  455	                   27
