	아이디		체력		마력		순위
========================================================================================
          던힐라이트	               884939	               613344	                    1
                악동	               305640	               360612	                    2
                토끼	               500901	               340475	                    3
          왕이된남자	               242938	               273344	                    4
                초보	               177208	               249351	                    5
                사나	               105601	               201427	                    6
                후닝	                52835	                72335	                    7
                법사	                52835	                71869	                    8
              왕초보	                16787	                32836	                    9
              마법사	                 2801	                29316	                   10
                법도	                  535	                  455	                   11
