	아이디		체력		마력		순위
========================================================================================
                데빌	              2480521	               141344	                    1
                사신	              1216117	               222344	                    2
          던힐라이트	               884939	               613344	                    3
              무도가	               836934	               345350	                    4
                애플	               635876	               167345	                    5
                셔스	               580942	               300350	                    6
            카리스마	               535638	               300341	                    7
                토끼	               500901	               340475	                    8
                신사	               484643	                72352	                    9
                피망	               404640	                98340	                   10
                악동	               305640	               360612	                   11
                돌돌	               266935	                52344	                   12
                던힐	               249638	               249338	                   13
          왕이된남자	               242938	               273344	                   14
                초보	               177208	               249351	                   15
                사나	               105601	               201427	                   16
                파워	               102801	                42316	                   17
                후니	                99634	                82696	                   18
                후닝	                52835	                72335	                   19
                법사	                52835	                71869	                   20
                모모	                18839	               240897	                   21
              왕초보	                16787	                32836	                   22
              마법사	                 2801	                29316	                   23
                여신	                 1821	                 1562	                   24
                촙자	                 1226	                 1043	                   25
            학살귀족	                  727	                  636	                   26
                법도	                  535	                  455	                   27
