{
이름	마이소시아
추가	0,운디네,110,125,운디네마을,87,49
추가	0,호엔,95,170,호엔마을,20,25
추가	0,수오미,72,190,수오미마을,40,11
추가	0,북의우드랜드,78,220,우드랜드대기실,10,16
추가	0,타고르,140,310,타고르마을,22,86
추가	0,밀레스,258,95,밀레스마을,50,50
추가	0,아벨,305,95,아벨마을,58,22
추가	0,야외배틀필드,288,119,야외배틀필드,11,20
추가	0,쉼터,135,쉼터,15,15
추가	0,죽음의마을,321,138,죽대,15,14
추가	0,마인,247,165,마인마을,89,32
추가	0,피에트,294,199,피에트마을,11,10
추가	0,서의우드랜드,353,188,우드랜드대기실,10,16
추가	0,루어스대평원,305,236,룸,4,4
추가	0,용자의공원,225,286,룸,4,4
추가	0,루어스,345,265,루어스마을,54,83
추가	0,아벨마을field,389,134,아벨마을field,50,50
추가	0,아이스월드,433,148,아이스월드,5,5
추가	0,뤼케시온,493,207,뤼케시온마을,20,8
추가	0,사냥터집합소,501,336,사냥터워프,8,8
}
