# 기술·마법 한글 이름 — 사람이 채운다.
# 구조(선행·직업·갈래)는 원작 영문 표가 정답지다: data/game-data/abilities.json
# 팩(5.99)의 82·71 은 운영자가 손댄 사본이라 쓰지 않는다. 이름만 필요하다.
#
# 마지막 칸 `한글이름` 만 채우면 된다. 비워 두면 영문 이름을 그대로 쓴다.
# 배치: 직업 → 갈래 → 선행 사슬. 들여쓰기(`·`)가 깊을수록 나중에 배우는 것이다.
# 다시 만들어도 채운 칸은 지켜진다: python3 scripts/build-ability-nametable.py
#
갈래	직업	영문이름	선행	레벨	한글이름

기술	전사	Armor Lore		0	
기술	전사	Assail		0	
기술	전사	· Assault	Assail	1	
기술	전사	· Clobber	Assail	10	
기술	전사	·· Wallop	Clobber	10	
기술	전사	··· Crasher	Wallop	10	크래셔
기술	전사	··· Long Strike	Wallop	20	
기술	전사	··· Two-handed Attack	Wallop	10	투핸드어택
기술	전사	· Melee Lore	Assail	20	
기술	전사	· Rescue	Assail	10	
기술	전사	·· ao beag suain	Rescue	60	타겟어택
기술	전사	·· beag suain	Rescue	70	
기술	전사	··· Paralyze Force	beag suain	100	M포효
기술	전사	· Wind Blade	Assail	20	윈드블레이드
기술	전사	Charge		0	질주
기술	전사	· Sever	Charge	100	
기술	전사	Combat Senses		0	
기술	전사	Cyclone Blade		0	메가블레이드
기술	전사	Dune Swipe 1		0	
기술	전사	· Dune Swipe 2	Dune Swipe 1	100	
기술	전사	·· Dune Swipe 3	Dune Swipe 2	100	
기술	전사	··· Dune Swipe 4	Dune Swipe 3	100	
기술	전사	···· Dune Swipe 5	Dune Swipe 4	100	
기술	전사	····· Dune Swipe 6	Dune Swipe 5	100	
기술	전사	······ Dune Swipe 7	Dune Swipe 6	100	
기술	전사	······· Dune Swipe 8	Dune Swipe 7	100	
기술	전사	········ Dune Swipe 9	Dune Swipe 8	100	
기술	전사	········· Dune Swipe 10	Dune Swipe 9	100	
기술	전사	Intimidate		0	
기술	전사	Mad Soul		0	
기술	전사	Missile Lore		0	
기술	전사	Sacrifice		0	
기술	전사	Strikedown 1		0	
기술	전사	· Strikedown 2	Strikedown 1	100	
기술	전사	·· Strikedown 3	Strikedown 2	100	
기술	전사	··· Strikedown 4	Strikedown 3	100	
기술	전사	···· Strikedown 5	Strikedown 4	100	
기술	전사	····· Strikedown 6	Strikedown 5	100	
기술	전사	······ Strikedown 7	Strikedown 6	100	
기술	전사	······· Strikedown 8	Strikedown 7	100	
기술	전사	········ Strikedown 9	Strikedown 8	100	
기술	전사	········· Strikedown 10	Strikedown 9	100	
기술	전사	·········· Strikedown 11	Strikedown 10	100	
기술	전사	Thrash		0	
기술	전사	· Sneak Attack	Thrash	100	
기술	전사	Thrust Attack 1		0	
기술	전사	· Thrust Attack 2	Thrust Attack 1	0	
