# tools: scripts/build-auto-learn.py 가 서버와 같은 표로 만든다. 손으로 고치지 말 것.
# 직업(1 전사 · 2 도적 · 3 마법사 · 4 성직자 · 5 무도가)	레벨	skill|spell	이름	그림
1	5	skill	숏블레이드	1
1	11	skill	윈드블레이드	15
1	11	spell	파워단련	99
1	16	skill	내려치기	73
1	21	skill	메가블레이드	16
1	21	skill	바투	0
1	41	skill	완전방어	19
1	50	skill	매드소울	20
1	55	skill	피닉스모드	40
1	62	skill	휘두르기	85
1	71	skill	투핸드어택	17
1	83	skill	타겟어택	39
1	99	skill	크래셔	21
2	11	spell	마구찌르기	142
2	11	spell	명중률향상(Lev1)	16
2	15	skill	아무네지아	44
2	30	skill	습격	29
2	31	spell	명중률향상(Lev2)	16
2	35	skill	표창던지기	12
2	41	spell	하이드	10
2	50	skill	암살격	31
2	57	skill	찔러휘비기	54
2	62	skill	소매치기	23
2	71	skill	만개표창	77
2	74	skill	원기지옥	70
2	83	skill	차크라어택	92
2	87	skill	슬레쉬	6
2	99	spell	암살	169
3	11	spell	렌토	5
3	11	spell	원소이해력	1
3	11	spell	쿠로토	21
3	15	spell	콘푸지오	20
3	21	spell	바르도	82
3	21	spell	수페라마레나	63
3	31	spell	마레누스	47
3	41	spell	나르콜리	90
3	50	spell	세멜리아	72
3	55	spell	데프레코	83
3	71	spell	마네나로	68
3	74	spell	침묵	111
3	83	spell	프라보	84
3	87	spell	딜루메니	3
3	99	spell	라그나로크	75
4	11	spell	신성력강화	115
4	11	spell	쿠러스	32
4	15	spell	호르라마	11
4	21	spell	디나르콜리	85
4	21	spell	디소루마	51
4	21	spell	에나르마	52
4	21	spell	쿠라노	29
4	41	spell	이모탈	53
4	50	spell	안티매직	11
4	55	spell	쿠라노소	30
4	63	spell	쿠라누스	33
4	73	spell	홀리랜서	71
4	81	spell	일루메나	25
4	83	spell	수페라쿠라노	31
4	87	spell	쿠라네라	34
4	93	spell	코마디아	86
4	99	spell	리베라토	8
4	99	spell	엑스쿠라네라	78
4	99	spell	엑스쿠라노	77
5	11	spell	주먹단련	0
5	11	spell	쿠로토	21
5	15	skill	이형환위	42
5	21	skill	양의신권	4
5	31	skill	단각	2
5	31	spell	장풍	27
5	41	spell	금강불괴	0
5	50	skill	구양신공	37
5	55	spell	쿠라노토	0
5	59	skill	붕각	3
5	63	skill	선풍각	34
5	70	skill	소수신공	43
5	74	skill	연환포	58
5	81	skill	달마신공	36
5	81	spell	일루메나	25
5	83	skill	일음지	33
5	87	skill	백보신권	4
5	93	skill	발경	35
5	99	spell	다라밀공	39
